qid	original_query	query_variant_1	query_variant_2	query_variant_3	query_variant_4	query_variant_5	query_variant_6	query_variant_7	query_variant_8	query_variant_9	query_variant_10	query_variant_11	query_variant_12	query_variant_13	query_variant_14	query_variant_15	query_variant_16	query_variant_17	query_variant_18	query_variant_19	query_variant_20
156493	do goldfish grow	 do goldfish increase in size 	do goldfish expand 	can goldfish grow 	do fish grow in goldfish 	do goldfish develop 	can goldfish become larger 	do they grow goldfish 	do goldfish augment 	can goldfish augment 	do goldfish enlarge 	do goldfish increase in length 	can goldfish get bigger 	do goldfish expand in size 	do goldfish augment in size 	can goldfish grow larger 	do goldfish become bigger 	can goldfish increase 	do goldfish grow in size 	can goldfish develop further 	do goldfish get bigger in size 
1110199	what is wifi vs bluetooth	 what is the difference between wi fi and bluetooth 	how do wi fi and bluetooth contrast 	what sets wi fi apart from bluetooth 	can you explain the distinction between wi fi and bluetooth 	how do wi fi and bluetooth compare 	what are the key differences between wi fi and bluetooth 	what is the main difference between wi fi and bluetooth 	how do wi fi and bluetooth stack up 	what s the difference between wi fi and bluetooth 	how do wi fi and bluetooth contrast in functionality 	what s the distinction between wi fi and bluetooth 	how do wi fi and bluetooth compare in terms of technology 	what are the primary differences between wi fi and bluetooth 	what s the main distinction between wi fi and bluetooth 	how do wi fi and bluetooth differ in their applications 	what are the chief differences between wi fi and bluetooth 	how do wi fi and bluetooth compare in terms of connectivity 	what is the disparity between wi fi and bluetooth 	how do wi fi and bluetooth compare in terms of wireless communication 	what are the fundamental differences between wi fi and bluetooth 
1063750	why did the us volunterilay enter ww1	 why did the united states volunteer its involvement in world war i 	what prompted the us to participate in wwi 	why did the us decide to enter world war i 	what led to america s entry into wwi 	why did the us join the war effort in 1917 	what drove the us to enter world war i 	why did the us choose to engage in wwi 	what motivated the us to join the war in 1914 	why did the us participate in the global conflict in 1917 	what factors contributed to the us entry into wwi 	why did the us take part in the first world war 	what caused the us to enter the war in 1917 	why did the us decide to go to war in 1917 	what prompted the us to engage in combat in wwi 	why did the us join the allied forces in wwi 	what led to the us involvement in the great war 	why did the us choose to fight in wwi 	what drove the us to take part in the war effort 	why did the us participate in the global conflict during wwi 	what motivated the us to enter the war in 1914 
130510	definition declaratory judgment	 definitionary pronouncement	declarative ruling	judicial definition	statement of interpretation	official explanation	clarifying decree	judicially determined definition	explanatory order	interpretive ruling	definitional edict	clearing up ambiguity	definition by fiat	authoritative declaration	ruling on meaning	interpretation by court	definition by court	judicial clarification	ruling on definition	definition through decree	court defined term
489204	right pelvic pain causes	 right pelvic pain causes	what causes right pelvic pain	pelvic pain on the right side causes	what leads to right pelvic pain	right pelvic discomfort causes	what is the cause of right pelvic pain	right pelvic tenderness causes	what triggers right pelvic pain	causes of right pelvic pain on the right side	right pelvic ache causes	what brings on right pelvic pain	right pelvic strain causes	what is the origin of right pelvic pain	right pelvic soreness causes	what is the root of right pelvic pain	right pelvic pressure causes	what induces right pelvic pain	right pelvic tightness causes	what sparks right pelvic pain	right pelvic stiffness causes
573724	what are the social determinants of health	 what are the underlying factors that influence an individual s health	what are the societal factors that affect one s wellbeing	what are the environmental and socioeconomic factors that impact health outcomes	what are the non medical factors that influence health	what are the social and economic determinants of health	what are the factors outside of healthcare that affect health	what are the lifestyle and socioeconomic factors that impact health	what are the community and environmental factors that influence health	what are the social and cultural factors that affect health	what are the demographic and socioeconomic factors that influence health	what are the economic and environmental factors that impact health	what are the social and environmental factors that affect health	what are the health determinants that are not medical	what are the factors that influence health beyond medical care	"what are the social, economic, and environmental factors that impact health"	what are the contextual factors that influence health	what are the determinants of health that are outside of healthcare	what are the factors that shape an individual s health	"what are the social, cultural, and environmental factors that influence health"	what are the factors that affect health beyond individual control
168216	does legionella pneumophila cause pneumonia	 does legionella pneumophila lead to pneumonia 	is legionella pneumophila responsible for pneumonia 	can legionella pneumophila induce pneumonia 	does legionella pneumophila trigger pneumonia 	is legionella pneumophila a causative agent of pneumonia 	can legionella pneumophila cause pneumonic illness 	is legionella pneumophila associated with pneumonic disease 	can legionella pneumophila lead to pneumonic infection 	is legionella pneumophila a pathogen of the lungs 	can legionella pneumophila cause lung infection 	does legionella pneumophila induce pneumonic symptoms 	can legionella pneumophila trigger pneumonic disease 	is legionella pneumophila a causative factor of pneumonia 	can legionella pneumophila cause pneumonic complications 	is legionella pneumophila linked to pneumonic illness 	can legionella pneumophila induce pneumonic symptoms 	is legionella pneumophila responsible for pneumonic infection 	can legionella pneumophila cause pneumonic disease 	is legionella pneumophila associated with pneumonic complications 	can legionella pneumophila lead to pneumonic illness 
1133167	how is the weather in jamaica	 what s the climate like in jamaica 	how s the atmospheric condition in jamaica 	what s the weather situation like in jamaica 	how s the jamaica weather 	what s the climate situation in jamaica 	what s the jamaica climate 	is the weather in jamaica good 	what s the jamaica weather like 	how s the weather in jamaica currently 	what s the jamaica weather forecast 	what s the jamaica atmospheric condition 	how s the jamaica climate 	what s the jamaica weather situation 	how s the jamaica weather today 	what s the jamaica weather like now 	is the jamaica weather pleasant 	how s the jamaica weather forecasted 	what s the jamaica weather currently like 	how s the jamaica weather situation currently 	what s the jamaica weather forecast for today 
527433	types of dysarthria from cerebral palsy	 kinds of dysarthria associated with cerebral palsy	dysarthria subtypes linked to cerebral palsy	cerebral palsy related dysarthria types	dysarthria forms in individuals with cerebral palsy	varieties of dysarthria that occur with cerebral palsy	cerebral palsy induced dysarthria categories	dysarthria manifestations in cerebral palsy patients	types of speech disorders caused by cerebral palsy	dysarthria patterns in individuals with cerebral palsy	cerebral palsy related speech impairment types	subtypes of dysarthria in cerebral palsy	dysarthria forms seen in cerebral palsy	cerebral palsy related speech disorders types	dysarthria varieties in individuals with cerebral palsy	cerebral palsy induced speech impairment types	dysarthria manifestations in cerebral palsy individuals	types of speech impairments caused by cerebral palsy	dysarthria patterns in cerebral palsy patients	cerebral palsy related speech difficulties types	subtypes of speech disorders in cerebral palsy
1037798	who is robert gray	 who is robert gray 	what is the identity of robert gray 	who is the person known as robert gray 	what do we know about robert gray 	who is the individual behind robert gray 	what is robert gray s identity 	who is this robert gray 	can you tell me about robert gray 	who is the character robert gray 	what s the story behind robert gray 	who is the person robert gray 	what is the meaning of robert gray 	who is the famous robert gray 	who is the notable robert gray 	what is the significance of robert gray 	who is the individual robert gray 	what is the essence of robert gray 	who is the personality robert gray 	what is the biography of robert gray 	who is the individuality robert gray 
915593	what types of food can you cook sous vide	 what types of dishes can you prepare using sous vide 	"sous vide cooking options, what are they "	what cuisine can you create with sous vide 	"sous vide recipe possibilities, what are they "	what food items can be cooked sous vide 	"sous vide cooking techniques, what are they "	what types of meals can you cook using sous vide 	"sous vide cooking methods, what are they "	what types of cuisine can be prepared sous vide 	"sous vide recipe options, what are they "	what kinds of dishes can you cook sous vide 	"sous vide cooking styles, what are they "	what food can be cooked sous vide 	"sous vide cooking possibilities, what are they "	what types of meals can be prepared sous vide 	"sous vide cooking recipes, what are they "	what types of cuisine can you prepare sous vide 	"sous vide cooking techniques, what are they "	what types of dishes can be cooked sous vide 	"sous vide cooking methods, what are they "
