qid	original_query	query_variant_1	query_variant_2	query_variant_3	query_variant_4	query_variant_5	query_variant_6	query_variant_7	query_variant_8	query_variant_9	query_variant_10	query_variant_11	query_variant_12	query_variant_13	query_variant_14	query_variant_15	query_variant_16	query_variant_17	query_variant_18	query_variant_19	query_variant_20
156493	do goldfish grow	 do goldfish grow	do goldfish grow in aquariums	do goldfish grow in tanks	do goldfish grow at home	do goldfish grow large	do goldfish grow quickly	do goldfish grow fast	do goldfish grow big	do goldfish grow rapidly	do goldfish grow slowly	do goldfish grow in captivity	do goldfish grow in ponds	do goldfish grow in water	do goldfish grow outdoors	do goldfish grow indoors	do goldfish grow well	do goldfish grow poorly	do goldfish grow healthy	do goldfish grow unhealthy	do goldfish grow normally
1110199	what is wifi vs bluetooth	 what is wifi and bluetooth	what is difference between wifi and bluetooth	wifi vs bluetooth comparison	what is wifi and bluetooth used for	wifi vs bluetooth advantages	what is wifi technology and bluetooth	wifi and bluetooth similarities	what is wifi wireless and bluetooth	wifi and bluetooth devices	what is wifi range and bluetooth range	wifi and bluetooth speed	what is wifi and bluetooth frequency	wifi and bluetooth security	what is wifi and bluetooth connectivity	wifi and bluetooth protocols	what is wifi and bluetooth applications	wifi vs bluetooth for gaming	wifi vs bluetooth for streaming	wifi vs bluetooth for file transfer	what is wifi and bluetooth in smartphones
1063750	why did the us volunterilay enter ww1	 what led to us involvement in ww1	why did us join ww1	what motivated us to enter ww1	why did us enter ww1	what caused us to participate in ww1	what led to us entry into ww1	why was us involved in ww1	what prompted us to enter ww1	why did us decide to join ww1	what were the reasons for us entry into ww1	why did us participate in ww1	what led to us declaration of war in ww1	what motivated us to declare war in ww1	why did us declare war in ww1	what caused us to declare war in ww1	what led to us involvement in the great war	why did us enter the great war	what motivated us to enter the great war	what were the factors that led to us entry into ww1	why did us get involved in ww1
130510	definition declaratory judgment	 definition of declaratory judgment	declaratory judgment meaning	what is declaratory judgment	declaratory judgment explanation	definition declaratory	judgment meaning	declaratory judgment definition	what is a declaratory judgment	judgment explanation	declaratory judgment interpretation	meaning of declaratory	declaratory judgment legal definition	judgment definition	declaratory judgment in law	what is the definition of declaratory judgment	declaratory judgment court ruling	judgment ruling	declaratory judgment law	definition of declaratory	declaratory judgment legal meaning
489204	right pelvic pain causes	 right pelvic pain causes	pelvic pain causes	right side pelvic pain causes	pelvic region pain causes	right pelvic area pain causes	causes of pelvic pain	right pelvic pain symptoms	pelvic pain in women causes	right pelvic pain in women causes	right pelvic pain in men causes	pelvic pain in men causes	right pelvic pain diagnosis	pelvic pain treatment	right pelvic pain treatment	pelvic pain remedies	right pelvic pain remedies	causes of right pelvic pain	right pelvic pain prevention	pelvic pain prevention	right pelvic pain relief
573724	what are the social determinants of health	 what are the social factors that affect health	what are the socioeconomic determinants of health	what are the environmental factors that influence health	what are the societal determinants of health	what are the community factors that impact health	what are the cultural determinants of health	what are the demographic determinants of health	what are the economic determinants of health	what are the educational determinants of health	what are the environmental determinants of health	what are the health determinants of health	what are the housing determinants of health	what are the lifestyle determinants of health	what are the living conditions determinants of health	what are the neighborhood determinants of health	what are the nutrition determinants of health	what are the occupational determinants of health	what are the poverty determinants of health	what are the psychological determinants of health	what are the racial determinants of health
168216	does legionella pneumophila cause pneumonia	 does legionella pneumophila cause lung infection	can legionella pneumophila lead to pneumonia	is legionella pneumophila a pneumonia pathogen	does legionella pneumophila cause respiratory illness	can legionella pneumophila infect the lungs	is legionella pneumophila a lung pathogen	does legionella pneumophila cause respiratory disease	can legionella pneumophila cause lung disease	is legionella pneumophila a cause of pneumonia	does legionella pneumophila lead to respiratory infection	can legionella pneumophila cause acute respiratory distress syndrome	is legionella pneumophila a cause of respiratory illness	does legionella pneumophila cause community acquired pneumonia	can legionella pneumophila cause hospital acquired pneumonia	is legionella pneumophila a cause of ventilator associated pneumonia	does legionella pneumophila cause healthcare associated pneumonia	can legionella pneumophila cause legionnaires  disease	is legionella pneumophila a cause of atypical pneumonia	does legionella pneumophila cause travel associated pneumonia	can legionella pneumophila cause nosocomial pneumonia
1133167	how is the weather in jamaica	 what s the current weather in jamaica	weather forecast in jamaica	jamaica weather today	weather conditions in jamaica	jamaica climate	jamaica weather forecast	what s the weather like in jamaica	current weather in jamaica	jamaica weather report	weather in jamaica now	jamaica weather updates	weather jamaica	jamaica weather conditions	weather forecast jamaica	jamaica weather forecast today	weather jamaica today	current jamaica weather	jamaica weather conditions today	jamaica weather update	weather in jamaica now
527433	types of dysarthria from cerebral palsy	 types of dysarthria cerebral palsy	dysarthria in cerebral palsy	cerebral palsy speech disorders	speech difficulties in cerebral palsy	types of speech impairments in cerebral palsy	cerebral palsy communication disorders	dysarthria and cerebral palsy	cerebral palsy speech problems	speech difficulties from cerebral palsy	dysarthria caused by cerebral palsy	cerebral palsy speech therapy	types of speech therapy for cerebral palsy	cerebral palsy communication strategies	dysarthria treatment options for cerebral palsy	cerebral palsy speech aids	speech therapy for dysarthria in cerebral palsy	cerebral palsy speech rehabilitation	dysarthria management in cerebral palsy	cerebral palsy speech development	types of speech therapy approaches for cerebral palsy
1037798	who is robert gray	 who is robert gray	robert gray who	who is robert	about robert gray	information on robert gray	robert gray details	who is the robert gray	robert gray bio	robert gray profile	who is a robert gray	robert gray facts	robert gray background	robert gray information	who is known as robert gray	robert gray identity	robert gray identity details	who is famous robert gray	robert gray history	who is robert gray the person	robert gray personal details
915593	what types of food can you cook sous vide	 what types of food can you cook sous vide	what foods can be cooked sous vide	types of food cooked sous vide	what can be cooked sous vide	sous vide cooking options	food options for sous vide cooking	what foods can you cook with sous vide	sous vide cooking possibilities	what can you cook with sous vide	food that can be cooked sous vide	sous vide cooking ideas	what types of dishes can be cooked sous vide	sous vide cooking methods for food	food items cooked sous vide	what foods are suitable for sous vide	sous vide cooking techniques	what can be cooked in a sous vide machine	sous vide cooking recipes	food preparation with sous vide	what types of cuisine can be cooked sous vide
264014	how long is life cycle of flea	 how long is flea life cycle	what is the lifespan of a flea	how long does a flea live	flea life cycle duration	how long does a flea s life cycle last	what is the length of a flea s life	flea lifespan	how long does it take for a flea to complete its life cycle	length of flea life cycle	flea life cycle length	what is the duration of a flea s life cycle	how long does a flea go through its life cycle	flea life cycle duration	what is the length of a flea s life cycle	how long is the flea life cycle	flea life span	what is the life cycle of a flea	how long does it take for a flea to live	flea life cycle length	what is the flea life cycle
1121402	what can contour plowing reduce	 what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce	what can contour plowing reduce
962179	when was the salvation army founded	 when was the salvation army established	what year was the salvation army founded	when was the salvation army started	when did the salvation army begin	what date is the salvation army anniversary	when was the salvation army created	what year did the salvation army start	when was the salvation army s founding	when did the salvation army start its work	when was the salvation army s inception	when did the salvation army begin its operations	what year was the salvation army s birth	when was the salvation army s origin	when did the salvation army start its journey	when was the salvation army s beginning	what date was the salvation army founded	when did the salvation army s history start	when was the salvation army s start	when did the salvation army s story begin	what year is the salvation army s anniversary
1117099	what is a active margin	 what is an active margin 	what is an active coastal margin 	what is a dynamic margin 	what is a coastal margin definition 	what is the meaning of active margin 	what is a tectonically active margin 	what is a margin of the earth 	what is a coastal boundary definition 	what is an active continental margin 	what is a geological margin 	what is a coastal zone definition 	what is a dynamic coastal margin 	what is an oceanic margin definition 	what is an active continental boundary 	what is a coastal region definition 	what is a geological boundary definition 	what is a tectonic margin definition 	what is a coastal area definition 	what is a dynamic boundary definition 	what is a geological boundary definition  
