qid	original_query	query_variant_1	query_variant_2	query_variant_3	query_variant_4	query_variant_5	query_variant_6	query_variant_7	query_variant_8	query_variant_9	query_variant_10	query_variant_11	query_variant_12	query_variant_13	query_variant_14	query_variant_15	query_variant_16	query_variant_17	query_variant_18	query_variant_19	query_variant_20
1030303	who is aziz hashim	 who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim	who is aziz hashim
1037496	who is rep scalise	 who is rep  steve scalise	rep  steve scalise bio	who is the house majority whip	steve scalise louisiana	rep  scalise contact	steve scalise biography	who is the republican whip	steve scalise wiki	rep  steve scalise facts	steve scalise political party	rep  scalise district	steve scalise family	who is the representative for louisiana	steve scalise news	rep  scalise office	steve scalise education	who is the house republican whip	steve scalise speech	rep  steve scalise voting record	steve scalise awards
1043135	who killed nicholas ii of russia	 who killed nicholas ii of russia	who assassinated nicholas ii of russia	who murdered nicholas ii of russia	who was responsible for the death of nicholas ii of russia	who killed the last russian tsar	who assassinated the romanov family	who was involved in the murder of nicholas ii	who was the assassin of nicholas ii	who was responsible for the execution of nicholas ii	who killed the russian royal family	who was involved in the killing of nicholas ii	who carried out the assassination of nicholas ii	who was the mastermind behind the murder of nicholas ii	who was responsible for the death of the romanov family	who was the last person to see nicholas ii alive	who was the one who killed nicholas ii	who was the perpetrator of the murder of nicholas ii	who was involved in the execution of nicholas ii	who was the one who assassinated nicholas ii	who was the mastermind behind the execution of nicholas ii
1051399	who sings monk theme song	 who sings monk theme song	who sings theme song of monk	who performs monk theme	who sings monk tv show theme	who is the singer of monk theme song	who does the theme song for monk	who sings the monk theme	who is the vocalist of monk theme	who sings the monk tv show theme	who does the music for monk	who is the composer of monk theme	who sings the theme of monk	who is the artist of monk theme song	who sings the monk opening theme	who does the opening theme of monk	who sings the main theme of monk	who is the singer of the monk main theme	who sings the monk show theme	who does the show theme of monk	who sings the monk main theme song
1064670	why do hunters pattern their shotguns	 why do hunters pattern their shotguns for accuracy	why do hunters pattern their shotguns before hunting	why do hunters pattern their shotguns for deer hunting	why do hunters pattern their shotguns for waterfowl hunting	why do hunters pattern their shotguns with specific chokes	why do hunters pattern their shotguns for turkey hunting	why do hunters pattern their shotguns for upland game hunting	why do hunters pattern their shotguns for target shooting	why do hunters pattern their shotguns to increase range	why do hunters pattern their shotguns to improve pattern density	why do hunters pattern their shotguns to reduce shot scatter	why do hunters pattern their shotguns for hunting small game	why do hunters pattern their shotguns for hunting large game	why do hunters pattern their shotguns with specific ammunition	why do hunters pattern their shotguns for hunting in dense cover	why do hunters pattern their shotguns for hunting in open areas	why do hunters pattern their shotguns to improve shot placement	why do hunters pattern their shotguns for hunting at close range	why do hunters pattern their shotguns for hunting at long range	why do hunters pattern their shotguns to optimize shotgun performance 
1071750	why is pete rose banned from hall of fame	 why is pete rose banned from baseball hall of fame	what led to pete rose s hall of fame ban	why was pete rose denied hall of fame	what was the reason for pete rose s hall of fame exclusion	why did pete rose get banned from the baseball hall of fame	what rule did pete rose break to be banned from hall of fame	how did pete rose s betting scandal affect his hall of fame chances	why did the baseball hall of fame voters reject pete rose	what is the significance of pete rose s ban from the hall of fame	why did pete rose s career achievements not guarantee his hall of fame induction	what is the impact of pete rose s ban on his legacy	why did pete rose s actions lead to his hall of fame exclusion	what are the implications of pete rose s ban from the hall of fame	how does pete rose s ban from the hall of fame reflect on the sport	why did pete rose s personal life affect his hall of fame chances	what is the role of the baseball hall of fame in pete rose s ban	why did pete rose s fans feel betrayed by his ban	what is the moral lesson from pete rose s ban from the hall of fame	why did pete rose s teammates and opponents have mixed reactions to his ban	what are the consequences of pete rose s ban from the hall of fame
1105792	define geon	 define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon	define geon
1106979	define pareto chart in statistics	 define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics	define pareto chart in statistics
1108651	what the best way to get clothes white	 best way to get clothes white and bright	most effective method to whiten clothes	how to get clothes super white	whitening clothes without bleach	best laundry tips to get clothes white	how to remove yellow stains from white clothes	best stain remover for white clothes	whitening clothes at home	how to get old clothes white again	best laundry detergent for whitening clothes	tips to keep white clothes looking new	how to whiten clothes with baking soda	best way to get white clothes looking like new	how to remove dinginess from white clothes	whitening clothes with hydrogen peroxide	best method to get clothes snow white	how to get stubborn stains out of white clothes	whitening clothes with oxygen bleach	best way to keep white clothes white	how to get white clothes looking bright and new
1109707	what medium do radio waves travel through	 what medium do radio waves travel through air	what medium do radio waves travel through atmosphere	what medium do radio waves travel through vacuum	what medium do radio waves travel through space	what medium do radio waves travel through solid	what medium do radio waves travel through liquid	what medium do radio waves travel through plasma	what medium do radio waves travel through ionosphere	what medium do radio waves travel through magnetosphere	what medium do radio waves travel through earth s atmosphere	what medium do radio waves travel through earth s crust	what medium do radio waves travel through ocean	what medium do radio waves travel through water	what medium do radio waves travel through soil	what medium do radio waves travel through rock	what medium do radio waves travel through metal	what medium do radio waves travel through glass	what medium do radio waves travel through wood	what medium do radio waves travel through fiber optic	what medium do radio waves travel through human body
